,title,score,review_num,keyword,category,tokenized_keyword
22,걸작의 뒷모습,8.3,6,[],예술/대중문화,[]
23,벌거벗은 미술관,9.7,52,"['미술사', '현대 미술', '감성', '미술 교육', '사유', '데생']",예술/대중문화,"['사유', '현대', '미술', '교육', '데생', '감성', '미술사']"
24,뱅크시: 벽 뒤의 남자,0.0,1,"['예술', '그래피티', '추적', '홀리데이', '테이트', '저널리스트']",예술/대중문화,"['테이트', '저널리스트', '예술', '추적', '홀리데이', '그래피티']"
25,세상에서 가장 재미있는 서양미술사. 2: 르네상스부터 현대미술까지(양장본 HardCover),2.5,5,"['역사', '건축', '예술가', '화가', '어린이', '그래픽 노블']",예술/대중문화,"['어린이', '화가', '그래픽', '건축', '예술가', '역사', '노블']"
26,스즈키 바이올린 교본. 3(개정판)(CD1장포함),9.8,124,"['음반', '메소드', '신이치', '베커', '단음계', '라장조']",예술/대중문화,"['메소드', '베커', '음반', '단음계', '라장조', '신이치']"
27,피아노로 연주하는 디즈니 OST 베스트 Original Ver.(개정판)(스프링),9.7,32,"['편곡', '스틸', '사운드', '트랙', '링크', '오리지널']",예술/대중문화,"['트랙', '사운드', '스틸', '링크', '편곡', '오리지널']"
28,서양미술사,9.2,2360,"['미술', '교회', '미학', '학술', '정복자', '필독서']",예술/대중문화,"['정복자', '미술', '필독서', '미학', '학술', '교회']"
29,간추린 체르니 100 (포인트),9.6,72,"['악보', '피아노', '심플', '연습곡', '연습', '교본']",예술/대중문화,"['심플', '피아노', '연습곡', '연습', '교본', '악보']"
30,캐롤 피아노 곡집(쉽게 연주하는),9.8,13,"['편곡', '윈터', '바이엘', '연탄', '크리스마스', '팝송']",예술/대중문화,"['팝송', '연탄', '바이엘', '윈터', '크리스마스', '편곡']"
31,피아노로 연주하는 디즈니 OST 베스트 Easy Ver.(개정판)(스프링),10.0,27,"['편곡', '스틸', '사운드', '트랙', '링크', '오리지널']",예술/대중문화,"['트랙', '사운드', '스틸', '링크', '편곡', '오리지널']"
32,시노자키 바이올린 교본. 1(개정판),9.8,59,"['음계', '마장조', '가단조', '연습', '라장조', '바장조']",예술/대중문화,"['바장조', '음계', '가단조', '마장조', '연습', '라장조']"
33,애니메이션 캐릭터 작화 기술(DVD와 함께하는)(CD1장포함),9.8,56,"['드로잉', '애니메이터', '작화', '모사', '만화작법', '방법']",예술/대중문화,"['방법', '드로잉', '작법', '모사', '만화', '작화', '애니메이터']"
34,인간의 마음을 사로잡는 스무 가지 플롯,9.5,64,"['명작', '희곡', '오셀로', '카사블랑카', '근친상간', '오르페우스']",예술/대중문화,"['카사블랑카', '오르페우스', '근친상간', '명작', '오셀로', '희곡']"
35,송사비의 클래식 음악야화,9.6,155,"['작곡가', '음악사', '현대 음악', '헨델', '피아니스트', '바흐']",예술/대중문화,"['현대', '음악사', '음악', '헨델', '바흐', '작곡가', '피아니스트']"
36,마음까지 몽글몽글 아이패드 드로잉,9.5,19,"['그림 그리기', '도형 그리기', '캔버스', '우쿨렐레', '브러시', '물감']",예술/대중문화,"['우쿨렐레', '브러시', '그리', '도형', '기', '캔버스', '물감', '그림']"
37,듄: 메이킹필름북,10.0,5,"['영화', '디자이너', '감독', '스토리보드', '연인 관계', '배우']",예술/대중문화,"['스토리보드', '연인', '영화', '배우', '감독', '디자이너', '관계']"
38,한국의 그림책 작가들에게 묻다(반양장),10.0,9,"['유럽', '질문', '인터뷰', '상상력', '눈빛', '소윤']",예술/대중문화,"['질문', '유럽', '소윤', '인터뷰', '상상력', '눈빛']"
39,위키위키 칼림바 연주곡집,10.0,2,"['악보', 'OST', '반주', '영상', '튜닝', '멜로디']",예술/대중문화,"['영상', '튜닝', 'OST', '악보', '멜로디', '반주']"
40,스즈키 바이올린 교본. 4(개정판)(CD1장포함),9.8,96,"['편곡', '음반', '브람스', '론도', '메소드', '비발디']",예술/대중문화,"['메소드', '론도', '브람스', '음반', '비발디', '편곡']"
41,다른 방식으로 보기(Ways of Seeing),9.5,129,"['사학', '편협', '작품감상', '텔레비전', '강의', '공격']",예술/대중문화,"['텔레비전', '감상', '공격', '편협', '강의', '사학', '작품']"
42,초콜렛. 3(맛있는 음악이론),9.8,58,"['계이름', '어린이음악교본', '오선', '음표', '덧줄', '음자리표']",예술/대중문화,"['어린이', '음표', '계이름', '음악', '덧줄', '교본', '음자리표', '오선']"
43,냠냠 맛있는 재즈 소곡집 1,9.7,51,"['왈츠', '도레미', '로보트', '썸머', '버터플라이', '발라드']",예술/대중문화,"['왈츠', '발라드', '썸머', '로보트', '도레미', '버터플라이']"
44,화가의 친구들,0.0,0,"['미술사', '뒤러', '고갱', '알브레히트', '클림트', '구스타프']",예술/대중문화,"['뒤러', '구스타프', '알브레히트', '고갱', '미술사', '클림트']"
45,석가의 해부학 노트(모든 그림 그리는 이들을 위한),8.4,1068,"['물리학', '한국인', '카툰', '근육', '어깨', '하체']",예술/대중문화,"['어깨', '근육', '물리학', '한국인', '카툰', '하체']"
46,공간 드로잉: 투시편,9.8,30,"['컬러링', '드로잉', '일러스트', '그림', '투시', '작가']",예술/대중문화,"['일러스트', '드로잉', '투시', '컬러', '링', '그림', '작가']"
47,친절한 빛과 색,10.0,25,"['드로잉', '작가', '재질', '채색', '다이나믹', '예약']",예술/대중문화,"['다이나믹', '채색', '드로잉', '재질', '예약', '작가']"
48,아트 캐피털리즘,0.0,0,"['미술사', '역사', '한국 미술', '현대 미술', '서구', '내면']",예술/대중문화,"['현대', '한국', '미술', '내면', '역사', '미술사', '서구']"
49,하농 60 피아노 교본(스프링),9.7,82,"['바이엘', '체르니', '음계', '장음계', '단음계', '연습곡']",예술/대중문화,"['장음계', '음계', '바이엘', '연습곡', '체르니', '단음계']"
50,바이엘. 2(박숙련의 알고 연주하는),9.6,36,"['피아노', '어린이', '음표', '교본', '지상', '박자']",예술/대중문화,"['어린이', '음표', '박자', '지상', '피아노', '교본']"
51,캐러멜의 만화 콘티 작법서,10.0,16,"['웹툰', '작가', '블록', '구도', '컨트롤', '노하우']",예술/대중문화,"['웹툰', '구도', '노하우', '컨트롤', '블록', '작가']"
52,시크릿 캐릭터 드로잉,9.4,70,"['웹툰', '온라인', '그림그리기', '코믹스', '실기', '중고']",예술/대중문화,"['그리', '온라인', '웹툰', '기', '코믹스', '그림', '실기', '중고']"
53,손그림 메이커,9.5,36,"['색연필', '배색', '샤프', '캐릭터', '연출', '사인펜']",예술/대중문화,"['샤프', '캐릭터', '사인펜', '색연필', '배색', '연출']"
54,초콜렛. 1(맛있는 음악이론),9.5,51,"['계이름', '어린이음악교본', '건반', '음표', '퀴즈', '그리기']",예술/대중문화,"['어린이', '음표', '리기', '계이름', '그', '음악', '교본', '퀴즈', '건반']"
55,패션 아이템 도감,9.8,15,"['일러스트', '이미지', '검색', '스커트', '디자인', '코디']",예술/대중문화,"['코디', '스커트', '일러스트', '검색', '디자인', '이미지']"
56,1페이지 미술 365(세상의 모든 지식이 내 것이 되는),10.0,8,"['미술사', '세계사', '미스터리', '화가', '예술', '종교']",예술/대중문화,"['종교', '화가', '미스터리', '예술', '미술사', '세계사']"
57,디자인 대사전,7.5,1,"['배색', '레이아웃', '장르', '폰트', '클라이언트', '이미지']",예술/대중문화,"['장르', '레이아웃', '클라이언트', '이미지', '폰트', '배색']"
58,뉴에이지 피아노 연주곡집: 초급(처음 만나는),9.8,59,"['편곡', '바이엘', '체르니', '레퍼토리', '원곡', '오리지널']",예술/대중문화,"['바이엘', '원곡', '레퍼토리', '체르니', '편곡', '오리지널']"
59,악보집은 처음이세요?(스프링),10.0,3,"['연주', '편곡', '저작', '원곡', '뉴에이지', '저작권법']",예술/대중문화,"['저작', '저작권법', '뉴에이지', '연주', '원곡', '편곡']"
60,세광뉴바이엘. 1,9.6,34,"['피아노', '어린이', '옥타브', '음계', '덧줄', '셋잇단음표']",예술/대중문화,"['어린이', '음계', '피아노', '덧줄', '옥타브', '셋잇단음표']"
61,룬의 아이들 일러스트집(양장본 HardCover),0.0,0,"['윈터', '일본', '스케치', '타이완', '표지', '흑백']",예술/대중문화,"['흑백', '스케치', '일본', '윈터', '타이완', '표지']"
62,20세기 사진 예술,9.7,27,"['컬렉션', '사진집', '소장', '프리츠', '알프레드', '인물 사진']",예술/대중문화,"['인물', '알프레드', '집', '사진', '프리츠', '소장', '컬렉션']"
63,나의 산타에게,10.0,1,"['연주', '크리스마스', '건반악기', '쓸모', '연주자', '초급']",예술/대중문화,"['악기', '초급', '연주', '연주자', '크리스마스', '건반', '쓸모']"
64,인체 드로잉(앤드류 루미스의),9.8,48,"['인물화', '명암', '펜화', '포즈', '데생', '동작']",예술/대중문화,"['펜화', '데생', '명암', '인물화', '동작', '포즈']"
65,최신 기법의 아나토미 @ 조형 회화 애니메이션 창작을 위한 인체 해부도감(개정판),9.5,89,"['그림', '만화', '경근', '복근', '두개골', '원근']",예술/대중문화,"['경근', '복근', '원근', '두개골', '그림', '만화']"
66,나도 영문 손글씨 잘 쓰면 소원이 없겠네(소원풀이 시리즈 16),0.0,0,"['글씨체', '필기체', '캘리그라피', '손글씨', '그라피', '캘리']",예술/대중문화,"['캘리', '손', '그라피', '필기체', '글씨', '글씨체']"
67,초간단 손그림 12000,10.0,11,"['컬러링', '드로잉', '일러스트', '색연필', '스케치', '진행 과정']",예술/대중문화,"['과정', '일러스트', '드로잉', '스케치', '컬러', '링', '진행', '색연필']"
68,스즈키 바이올린 교본. 5(개정판)(CD1장포함),9.8,61,"['피아노', '음반', '메소드', '음계', '작곡가', '신이치']",예술/대중문화,"['메소드', '음계', '피아노', '음반', '작곡가', '신이치']"
69,간추린 체르니 30 (포인트),9.7,29,"['악보', '피아노', '심플', '연습곡', '연습', '교본']",예술/대중문화,"['심플', '피아노', '연습곡', '연습', '교본', '악보']"
70,사진(12판),9.2,15,"['인화', '암실', '카메라', '필름', '디지털', '소프트웨어']",예술/대중문화,"['디지털', '소프트웨어', '카메라', '인화', '암실', '필름']"
71,크리스마스 피아노 페스티발,9.9,20,"['편곡', '연주', '체르니', '재즈피아노', '주 예수', '캐럴']",예술/대중문화,"['캐럴', '예수', '주', '피아노', '연주', '체르니', '재즈', '편곡']"
72,김찬용의 아트 내비게이션,9.5,23,"['미술사', '여행', '미술 감상', '인상파', '취향', '전시']",예술/대중문화,"['인상파', '미술', '감상', '여행', '미술사', '전시', '취향']"
73,도슨트 정우철의 미술 극장(EBS CLASS e),9.1,12,"['그림', '화가', '스토리 텔러', '미술관', '인상주의', '클림트']",예술/대중문화,"['화가', '미술관', '스토리', '인상주의', '그림', '클림트', '텔러']"
74,초콜렛. 2,9.7,55,"['계이름', '어린이음악교본', '오선', '건반', '음표', '쉼표']",예술/대중문화,"['어린이', '건반', '음표', '계이름', '음악', '교본', '쉼표', '오선']"
75,초콜렛. 4(맛있는 음악이론),9.7,34,"['연주', '음표', '어린이음악교본', '덧줄', '보표', '위아래']",예술/대중문화,"['어린이', '음표', '위아래', '보표', '음악', '연주', '덧줄', '교본']"
76,차차와 피아노 놀이 레슨&연주곡집(스프링),9.4,83,"['악보', '유튜브', '강사', '음악', '영상', '조성']",예술/대중문화,"['영상', '음악', '조성', '유튜브', '악보', '강사']"
77,미치도록 쉬운 기타. 1(강경애의)(개정판),0.0,0,"['연주', '코드', '반주', '멜로디', '비트', '연주법']",예술/대중문화,"['코드', '연주', '연주법', '비트', '멜로디', '반주']"
78,슬기로운 의사생활 시즌2 OST 피아노 연주곡집,10.0,1,"['악보', '편곡', '감동', '연주곡', '명곡', '드라마']",예술/대중문화,"['명곡', '드라마', '감동', '연주', '악보', '편곡', '곡']"
79,누구나 그릴 수 있는 색연필 일러스트 10000개,9.5,168,"['다이어리', '드로잉', '그림', '캐릭터', '손 편지', '손글씨']",예술/대중문화,"['드로잉', '캐릭터', '편지', '손', '글씨', '그림', '다이어리']"
80,피아노 어드벤처. 1-A,9.6,23,"['연주', '청음', '테크닉', '플래시 카드', '드리블', '아기 고양이']",예술/대중문화,"['테크닉', '플래시', '연주', '아기', '고양이', '카드', '청음', '드리블']"
81,피아노 어드벤처. 2-A,10.0,18,"['연주', '청음', '레가토', '테크닉', '플래시 카드', '나비야']",예술/대중문화,"['나비야', '테크닉', '플래시', '연주', '카드', '레가토', '청음']"
82,애뽈의 숲소녀 컬러링북,9.6,128,"['컬러링', '색연필', '스케치', '색칠 놀이', '그라', '점선']",예술/대중문화,"['색칠', '그라', '스케치', '컬러', '링', '놀이', '색연필', '점선']"
83,디자인 씽킹 바이블,10.0,17,"['혁신', '디자이너', '초일류', '비즈니스 모델', '사고방식', '삼성전자']",예술/대중문화,"['삼성전자', '혁신', '디자이너', '모델', '비즈니스', '초일류', '사고방식']"
84,재즈피아노 독학 가이드북. 2: 장르별 연주법,10.0,1,"['연주', '유튜브', '발라드', '펑크', '리듬', '보이']",예술/대중문화,"['펑크', '발라드', '리듬', '연주', '유튜브', '보이']"
85,빈스 과랄디의 찰리 브라운 크리스마스 캐롤 피아노 연주곡집,9.9,18,"['악보', '코로나', '역사', '사운드', '트랙', '외투']",예술/대중문화,"['트랙', '외투', '사운드', '역사', '악보', '코로나']"
86,기생충 각본집 & 스토리보드북 세트(전2권),9.1,2602,"['영화제', '스릴러', '면접', '영화이야기', '한국 영화', '인터뷰']",예술/대중문화,"['스릴러', '영화', '한국', '이야기', '영화제', '인터뷰', '면접']"
87,태도가 작품이 될 때,9.4,41,"['에세이', '예술가', '작가', '미술가', '전시', '작업']",예술/대중문화,"['미술가', '작업', '에세이', '예술가', '전시', '작가']"
88,계이름 하늘 자전거. 1,9.9,29,"['어린이', '오선', '어린이음악교본', '건반', '음표', '가온']",예술/대중문화,"['어린이', '음표', '음악', '교본', '건반', '가온', '오선']"
89,세광뉴바이엘. 4,9.8,45,"['어린이', '피아노', '교본', '상품']",예술/대중문화,"['어린이', '상품', '피아노', '교본']"
90,서드 포지션,9.5,47,"['바이올린', '교본', '상품', '사람']",예술/대중문화,"['사람', '바이올린', '상품', '교본']"
91,디즈니 재즈소곡집. 1,9.7,48,"['연주', '편곡', '바이엘', '체르니', '명곡', '뉴에이지']",예술/대중문화,"['명곡', '뉴에이지', '연주', '바이엘', '체르니', '편곡']"
92,그림책 디자인 도서관,10.0,2,"['컬러링', '어린이 그림책', '글꼴', '어린이 책 작가', '상호 작용', '질감']",예술/대중문화,"['어린이', '상호', '컬러', '링', '글꼴', '책', '작용', '질감', '그림책', '작가']"
93,모던 아트,9.5,12,"['예술가', '미술사', '현대 미술', '미술이야기', '인상주의', '미래주의']",예술/대중문화,"['미래주의', '현대', '미술', '이야기', '예술가', '인상주의', '미술사']"
94,친절한 드로잉,9.3,58,"['인체', '포토샵', '입문서', '튜토리얼', '하체', '다이나믹']",예술/대중문화,"['다이나믹', '튜토리얼', '입문서', '인체', '포토샵', '하체']"
95,나의 첫 아이패드 드로잉,9.8,15,"['그림', '에이트', '크리', '기록', '패드', '사진 보정']",예술/대중문화,"['보정', '패드', '크리', '사진', '그림', '기록', '에이트']"
96,브랜드 브랜딩 브랜디드,9.3,29,"['철학', '일상', '디자이너', '디자인이론', '마케팅 커뮤니케이션', '전작']",예술/대중문화,"['철학', '커뮤니케이션', '일상', '이론', '마케팅', '디자이너', '디자인', '전작']"
97,오일 파스텔로 그리는 카페 드로잉,0.0,0,"['도안', '스케치', '소품', '빈티지', '재료', '기법']",예술/대중문화,"['도안', '스케치', '기법', '재료', '소품', '빈티지']"
98,피아노 어드벤처. 1-B,10.0,20,"['연주', '청음', '계이름', '색칠 놀이', '음악', '레퍼토리']",예술/대중문화,"['색칠', '계이름', '음악', '연주', '놀이', '레퍼토리', '청음']"
99,"알폰스 무하, 유혹하는 예술가(양장본 HardCover)",10.0,10,"['화가', '아르누보', '화집', '아마존', '별점', '몽환']",예술/대중문화,"['화집', '화가', '아마존', '별점', '아르누보', '몽환']"
100,album[s] 그림책: 글·이미지·물성으로 지은 세계(양장본 HardCover),10.0,2,"['영 유아', '창의성', '올리비에', '창작', '물성', '원리']",예술/대중문화,"['창의', '성', '창작', '올리비에', '영', '유아', '원리', '물성']"
101,갯마을 차차차. 1,10.0,12,"['로맨스', '대본집', '공진', '휴먼스토리', '드라마', '주연']",예술/대중문화,"['드라마', '집', '주연', '대본', '로맨스', '휴먼스토리', '공진']"
102,다정한 나의 오일파스텔,10.0,5,"['도안', '그림', '튜토리얼', '스케치', '풍경화', '노하우']",예술/대중문화,"['도안', '풍경화', '튜토리얼', '스케치', '노하우', '그림']"
103,기초 실용음악 화성학,9.8,23,"['음악 이론', '음표', '연주', '입 문자', '교재', '독학']",예술/대중문화,"['음표', '교재', '이론', '독학', '음악', '연주', '문자', '입']"
104,이루마 더 베스트 이지,8.3,2,"['악보', '편곡', '연주', '피아노', '체르니', '악보집']",예술/대중문화,"['집', '피아노', '연주', '체르니', '악보', '편곡']"
105,계이름 하늘 자전거. 3,9.9,19,"['자니', '초등학생 아이', '에디슨', '발명왕', '가온', '코코']",예술/대중문화,"['자니', '코코', '초등학생', '발명왕', '아이', '가온', '에디슨']"
106,세광뉴바이엘. 2,9.5,42,"['피아노', '어린이', '옥타브', '음계', '덧줄', '셋잇단음표']",예술/대중문화,"['어린이', '음계', '피아노', '덧줄', '옥타브', '셋잇단음표']"
107,스즈키 첼로 교본. 1(개정판)(CD1장포함),9.5,41,"['음반', '메소드', '라장조', '변주곡', '다장조', '사장조']",예술/대중문화,"['메소드', '변주곡', '다장조', '사장조', '음반', '라장조']"
108,스즈키 첼로 교본. 3(개정판),9.5,33,"['피아노', '메소드', '사장조', '미뉴에트', '자장가', '지도서']",예술/대중문화,"['메소드', '지도서', '자장가', '피아노', '사장조', '미뉴에트']"
109,디즈니 계이름 공부. 2,9.8,61,"['연주', '탈피', '피아노 교본', '가온', '큰보표', '높은음']",예술/대중문화,"['탈피', '피아노', '연주', '교본', '높은음', '가온', '큰보표']"
110,디즈니 OST 베스트(피아노로 쉽게 연주하는),8.9,12,"['편곡', '피아노연주곡집', '스틸', '월트 디즈니', '수록', '멜로디']",예술/대중문화,"['곡집', '스틸', '피아노', '연주', '수록', '디즈니', '멜로디', '편곡', '월트']"
111,예술의 주름들(양장본 HardCover),10.0,10,"['시집', '시인', '문학', '사유', '상처', '쇠라']",예술/대중문화,"['사유', '쇠라', '상처', '시인', '시집', '문학']"
112,한국미술 1900-2020(양장본 HardCover),10.0,1,"['미술사', '서화', '민주', '다원', '동시대', '근대']",예술/대중문화,"['동시대', '다원', '서화', '민주', '근대', '미술사']"
113,동그라미 바이엘. 4(개정판),9.6,35,"['피아노', '왈츠', '체르니', '소나타', '음계', '카포']",예술/대중문화,"['왈츠', '음계', '피아노', '카포', '체르니', '소나타']"
114,세상의 모든 간추린 체르니 100,10.0,17,"['피아노', '어린이', '테크닉', '바이엘', '레가토', '아이콘']",예술/대중문화,"['어린이', '테크닉', '피아노', '바이엘', '아이콘', '레가토']"
115,스튜디오 지브리 OST 베스트(Original Piano Ver.)(연주 동영상이 있는)(스프링),9.9,55,"['편곡', '애니메이션', '토토로', '시카', '나우', '치히로']",예술/대중문화,"['편곡', '애니메이션', '토토로', '치히로', '나우', '시카']"
116,엄지척 칼림바 연주곡집(내가 아는 곡으로 쉽게 시작하는),9.8,13,"['악보', '편곡', '듀엣', '클래식', '가요', '초급']",예술/대중문화,"['가요', '듀엣', '클래식', '초급', '악보', '편곡']"
117,"30일, 나의 새로운 취미 재즈피아노(지민도로시의)",9.7,8,"['연주', '피아노', '피아니스트', '유튜브', '취미', '연주법']",예술/대중문화,"['피아노', '연주', '유튜브', '피아니스트', '연주법', '취미']"
118,서양미술사(양장본 HardCover),9.0,717,"['실험', '현대 미술', '예술사', '미술가', '벽화', '비잔티움']",예술/대중문화,"['현대', '미술가', '벽화', '미술', '예술사', '비잔티움', '실험']"
119,용자 시리즈 30주년 메모리얼 아카이브,10.0,1,"['로봇', '원화', '자전', '완구', '컬렉션', '토미']",예술/대중문화,"['원화', '완구', '로봇', '자전', '토미', '컬렉션']"
120,만화 캐릭터 데생 입문,9.5,45,"['인체', '일러스트', '작화', '아이돌', '유튜브', '각도']",예술/대중문화,"['일러스트', '인체', '유튜브', '아이돌', '각도', '작화']"
121,계이름 여행. 2(냠냠 맛있는),9.7,29,"['악보', '연주', '피아노', '어린이음악교본', '음표', '온쉼표']",예술/대중문화,"['어린이', '음표', '피아노', '연주', '음악', '온쉼표', '교본', '악보']"
122,오일파스텔 풍경화(하늘 담은),10.0,16,"['도안', '스케치', '갯벌', '꽃밭', '들판', '기법']",예술/대중문화,"['도안', '갯벌', '꽃밭', '스케치', '들판', '기법']"
123,스콧 로버트슨의 How to Draw,10.0,12,"['투시', '건축가', '디자이너', '예술가', '원근법', '그리드']",예술/대중문화,"['투시', '원근법', '건축가', '디자이너', '예술가', '그리드']"
124,SAVE THE CAT!: 흥행하는 영화 시나리오의 8가지 법칙,9.2,45,"['로그', '불변', '보드', '라인', '피날레', '애꾸눈']",예술/대중문화,"['라인', '피날레', '불변', '로그', '보드', '애꾸눈']"
125,히사이시 조의 음악일기,9.7,24,"['철학', '작곡가', '악보', '현대 음악', '지휘', '음악가']",예술/대중문화,"['철학', '현대', '지휘', '음악가', '음악', '작곡가', '악보']"
126,일러스트 해체신서(다시 시작하는)(쉽게 배우는 만화),9.9,24,"['일러스트', '인체', '포즈', '만화기법', '구도', '부위']",예술/대중문화,"['일러스트', '부위', '인체', '기법', '구도', '포즈', '만화']"
127,피아노 콩쿠르 전체 대상 200회의 비밀,10.0,6,"['학원', '샛별', '선생', '콩쿠르', '비법', '홍보']",예술/대중문화,"['콩쿠르', '학원', '선생', '샛별', '홍보', '비법']"
128,브랜드 디자인,9.0,21,"['디자이너', '크리에이티브', '브랜딩', '타이포그래피', '브랜드전략', '해부학']",예술/대중문화,"['랜딩', '브랜드전략', '타이포그래피', '디자이너', '해부학', '브', '크리에이티브']"
129,좋은 서비스 디자인,9.3,13,"['사용자', '디지털', '법칙', '불변', '경험', '마케팅 방법']",예술/대중문화,"['디지털', '법칙', '방법', '불변', '사용자', '마케팅', '경험']"
130,음악의 언어,9.7,13,"['악보', '소리', '언어', '한국어', '문법', '어휘']",예술/대중문화,"['언어', '문법', '한국어', '소리', '어휘', '악보']"
131,드로잉 다이어리,10.0,2,"['그림 그리기', '표현 기법', '저널', '관찰', '연필', '매력']",예술/대중문화,"['그리', '표현', '관찰', '기법', '기', '매력', '연필', '그림', '저널']"
132,"사람, 디자인, 브랜드",0.0,0,"['디자이너', '스타트업', '디자인이론', '오이', '테일', '그레이']",예술/대중문화,"['이론', '그레이', '디자이너', '스타트업', '디자인', '테일', '오이']"
133,색연필로 그리는 모던민화 컬러링북,9.4,11,"['다산', '모란', '그림', '전통', '안료', '작품']",예술/대중문화,"['전통', '안료', '다산', '그림', '작품', '모란']"
134,세광뉴바이엘. 3,9.8,41,"['피아노', '어린이', '옥타브', '음계', '덧줄', '셋잇단음표']",예술/대중문화,"['어린이', '음계', '피아노', '덧줄', '옥타브', '셋잇단음표']"
135,세광 소나티네 앨범(스프링),9.7,56,"['연주', '피아노', '교본', '상품', '교재', '기본']",예술/대중문화,"['교재', '기본', '피아노', '연주', '상품', '교본']"
